num_frijol,germino,fecha_germinacion,tipo_frijol,tipo_tierra,masa_semilla,altura1,altura2,altura3,altura4,altura5_1,alturaa5_2,altura5_3,herbivoria,Grado_herbivoria,Cambio_color,Grado_coloracion,Enfermedad,Maleza,peso_seco,longitud_raiz_colonizada
27,si,5,peruano,campus,"0,3386","5,1","9,6","11,8","13,1","13,5","10,7","10,6",no,NA,no,NA,no,no,"1,1697",NA
28,si,2,peruano,campus,"0,3323","5,7","11,4","15,9","16,3","16,5",15,"14,8",si,4,si,1,si,si,"1,4129",NA
29,si,8,peruano,campus,"0,3179","5,4","7,6","9,1","10,9",11,"9,7","9,2",no,NA,si,1,si,si,"1,669",NA
30,si,2,peruano,campus,"0,3238","6,1","14,2","17,5","18,9","19,3",18,18,si,1,no,NA,si,si,"1,375","12,10%"
31,no,NA,negro,esteril,"0,2658",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
32,si,6,negro,esteril,"0,2073","6,4","9,8","10,5","11,2","12,1","10,7","10,5",no,NA,si,2,si,no,"0,6115",40%
33,no,NA,negro,esteril,"0,2015",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
34,no,NA,negro,esteril,"0,2552",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
35,no,NA,negro,esteril,"0,2349",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,si,NA,NA
36,no,NA,peruano,esteril,"0,2441",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
37,no,NA,peruano,esteril,"0,3188",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
38,no,NA,peruano,esteril,"0,2988",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
39,no,NA,peruano,esteril,"0,3062",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
40,no,NA,peruano,esteril,"0,1548",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
41,no,NA,negro,inoculada,"0,2933",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
42,no,NA,negro,inoculada,"0,178",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
43,no,NA,negro,inoculada,"0,2292",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
44,no,NA,negro,inoculada,"0,2123",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
45,no,NA,negro,inoculada,"0,2044",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
46,no,NA,peruano,inoculada,"0,3234",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
47,no,NA,peruano,inoculada,"0,3312",NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,no,no,NA,NA
